COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,AREA_SQFT,AREA_ACRES,REALTOWN,TOWN_ID,COUSUBFP10,POP100_RE,HU100_RE,LOGPL94171,LOGSF1,LOGSF1C,SHAPE_AREA,SHAPE_LEN
025,091200,1004,250250912001004,Block 1004,G5040,13422.00000000,0.00000000,+42.3189557,-071.0608683,144458.54000000,3.31630000,Boston,35,07000,149,51,0179582,142282,0142282,13420.69302950000,505.07973643300
025,060501,2002,250250605012002,Block 2002,G5040,12139.00000000,0.00000000,+42.3368136,-071.0407746,130659.05000000,2.99950000,Boston,35,07000,152,92,0179014,140280,0140280,12138.66974470000,449.09859049000
025,060301,3005,250250603013005,Block 3005,G5040,12398.00000000,0.00000000,+42.3351036,-071.0407517,133444.65000000,3.06350000,Boston,35,07000,141,80,0178946,140219,0140219,12397.46391580000,450.83183977600
025,051200,1002,250250512001002,Block 1002,G5040,22811.00000000,0.00000000,+42.3637152,-071.0300324,245518.10000000,5.63630000,Boston,35,07000,32,19,0175702,140119,0140119,22809.47601190000,970.90063441200
025,120700,2001,250251207002001,Block 2001,G5040,13961.00000000,0.00000000,+42.3229974,-071.1142873,150259.61000000,3.44950000,Boston,35,07000,111,54,0180543,144335,0144335,13959.63157270000,539.43642083000
025,120500,1003,250251205001003,Block 1003,G5040,10826.00000000,0.00000000,+42.3211159,-071.1022949,116529.58000000,2.67520000,Boston,35,07000,85,27,0180454,144279,0144279,10825.99725710000,459.62666568300
025,120400,5013,250251204005013,Block 5013,G5040,9018.00000000,0.00000000,+42.3160461,-071.1148958,97063.44000000,2.22830000,Boston,35,07000,110,67,0184868,144273,0144273,9017.52769621000,421.81491694100
025,120201,1005,250251202011005,Block 1005,G5040,14793.00000000,0.00000000,+42.3051255,-071.1132835,159220.93000000,3.65520000,Boston,35,07000,174,88,0180897,144116,0144116,14792.16618670000,587.05639188100
025,081300,1003,250250813001003,Block 1003,G5040,40676.00000000,0.00000000,+42.3148695,-071.0962442,437802.89000000,10.05060000,Boston,35,07000,458,271,0180693,141614,0141614,40673.38507750000,974.03045736500
025,081700,4005,250250817004005,Block 4005,G5040,2447.00000000,0.00000000,+42.3246087,-071.0883307,26335.88000000,0.60460000,Boston,35,07000,0,0,0180235,141760,0141760,2446.69390042000,282.01263096600
025,140107,2001,250251401072001,Block 2001,G5040,23283.00000000,0.00000000,+42.2540272,-071.1300982,250598.21000000,5.75290000,Boston,35,07000,161,73,0184011,145076,0145076,23281.43501290000,608.28616913400
025,140102,1009,250251401021009,Block 1009,G5040,8736.00000000,0.00000000,+42.2494006,-071.1343560,94025.67000000,2.15850000,Boston,35,07000,52,20,0184340,144910,0144910,8735.31402716000,371.23571477700
025,140107,1005,250251401071005,Block 1005,G5040,34715.00000000,0.00000000,+42.2611214,-071.1253521,373651.20000000,8.57790000,Boston,35,07000,173,56,0183997,145059,0145059,34713.47353040000,1044.58927175000
